12:13:24.488 INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 248 getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
12:13:24.562 INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 177 getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@482d776b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4052274f, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@132ddbab, org.springframework.test.context.support.DirtiesContextTestExecutionListener@297ea53a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@acb0951, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5bf22f18]
12:13:24.728 INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 316 loadBeanDefinitions - Loading XML bean definitions from class path resource [spring-context.xml]
12:13:25.454 INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 316 loadBeanDefinitions - Loading XML bean definitions from class path resource [spring-cache.xml]
12:13:25.531 INFO  org.springframework.context.support.AbstractApplicationContext 589 prepareRefresh - Refreshing org.springframework.context.support.GenericApplicationContext@2cf23c81: startup date [Tue Apr 17 12:13:25 CST 2018]; root of context hierarchy
12:13:27.225 INFO  com.alibaba.druid.support.logging.Log4j2Impl 106 info - {dataSource-1} inited
12:13:27.937 INFO  com.alibaba.druid.support.logging.Log4j2Impl 106 info - {dataSource-2} inited
12:13:30.207 INFO  org.springframework.cache.ehcache.EhCacheManagerFactoryBean 134 afterPropertiesSet - Initializing EhCache CacheManager
12:13:30.777 INFO  org.springframework.context.support.AbstractApplicationContext 989 doClose - Closing org.springframework.context.support.GenericApplicationContext@2cf23c81: startup date [Tue Apr 17 12:13:25 CST 2018]; root of context hierarchy
12:13:30.781 INFO  org.springframework.cache.ehcache.EhCacheManagerFactoryBean 192 destroy - Shutting down EhCache CacheManager
12:13:30.806 INFO  com.alibaba.druid.support.logging.Log4j2Impl 106 info - {dataSource-2} closed
12:13:30.809 INFO  com.alibaba.druid.support.logging.Log4j2Impl 106 info - {dataSource-1} closed
