17:44:19.822 INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 248 getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
17:44:19.913 INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 177 getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@70ed52de, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@496bc455, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@59402b8f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7188af83, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6be968ce, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7c37508a]
17:44:20.049 INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 316 loadBeanDefinitions - Loading XML bean definitions from class path resource [spring-context.xml]
17:44:20.640 INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 316 loadBeanDefinitions - Loading XML bean definitions from class path resource [spring-cache.xml]
17:44:20.854 INFO  org.springframework.context.support.AbstractApplicationContext 589 prepareRefresh - Refreshing org.springframework.context.support.GenericApplicationContext@7e990ed7: startup date [Thu Apr 19 17:44:20 CST 2018]; root of context hierarchy
17:44:22.543 INFO  com.alibaba.druid.support.logging.Log4j2Impl 106 info - {dataSource-1} inited
17:44:23.129 INFO  com.alibaba.druid.support.logging.Log4j2Impl 106 info - {dataSource-2} inited
17:44:24.681 INFO  org.springframework.cache.ehcache.EhCacheManagerFactoryBean 134 afterPropertiesSet - Initializing EhCache CacheManager
17:44:25.134 INFO  org.springframework.context.support.AbstractApplicationContext 989 doClose - Closing org.springframework.context.support.GenericApplicationContext@7e990ed7: startup date [Thu Apr 19 17:44:20 CST 2018]; root of context hierarchy
17:44:25.139 INFO  org.springframework.cache.ehcache.EhCacheManagerFactoryBean 192 destroy - Shutting down EhCache CacheManager
17:44:25.165 INFO  com.alibaba.druid.support.logging.Log4j2Impl 106 info - {dataSource-2} closed
17:44:25.168 INFO  com.alibaba.druid.support.logging.Log4j2Impl 106 info - {dataSource-1} closed
